date_key,tanggal,tahun,bulan,nama_bulan,kuartal
20240131,2024-01-31,2024,1,January,1
20240229,2024-02-29,2024,2,February,1
20240331,2024-03-31,2024,3,March,1
20240430,2024-04-30,2024,4,April,2
20240531,2024-05-31,2024,5,May,2
20240630,2024-06-30,2024,6,June,2
20240731,2024-07-31,2024,7,July,3
20240831,2024-08-31,2024,8,August,3
20240930,2024-09-30,2024,9,September,3
20241031,2024-10-31,2024,10,October,4
20241130,2024-11-30,2024,11,November,4
20241231,2024-12-31,2024,12,December,4
