date_key,tanggal,hari_ke
20210323,2021-03-23,1
20210324,2021-03-24,2
20210325,2021-03-25,3
20210326,2021-03-26,4
20210327,2021-03-27,5
20210328,2021-03-28,6
20210329,2021-03-29,7
